GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1
 "00000","United States", ,SQINC35,10,"...","Personal income (thousands of dollars, seasonally adjusted) ","Thousands of dollars",204641748,210069372,215368568,215900312,209582568,208642884,208379284,209431264,224872338,227018610,235435754,244015854,252653263,261187035,265444751,270037791,272139625,276136441,283295393,289771793,294332343,298155083,297971159,298112995,298221075,297872831,299774755,305339527,311887722,319078042,325809050,331762566,337261369,342935085,348284165,355853561,360194616,364875408,369406376,369608456,368223195,371358967,378785199,386237759,390387311,399652019,402693575,408582239,412644856,417480888,419614172,421060084,425761352,432031952,438976248,447418448,454369988,461904004,466872800,472853208,478256888,483117504,490428364,499317244,508917892,518360620,527342680,535910808,547189512,556840516,570750820,582995152,595960368,605817324,617781024,631293284,641919420,649043080,662980656,673368844,693187292,712776860,730312304,747231544,764887676,783275168,801070648,815682508,830679028,850468280,865498808,875453884,894260000,918564344,933380776,952246880,977447236,996338488,1023328780,1068517496,1087597952,1118065888,1145687492,1182520668,1199880332,1226440480,1263015780,1290311408,1310914788,1343040020,1380380332,1415684860,1448827788,1474514272,1512372336,1547101604,1581170564,1625727480,1670806756,1728823200,1770224220,1830326308,1884919164,1937926308,1996408008,2035996984,2101214756,2159564252,2223417880,2259993756,2338876460,2433599904,2496308076,2546059052,2644536924,2677075948,2712107596,2757026252,2798775064,2842651088,2881738060,2931147164,2988455908,3075990868,3164220380,3246080284,3318933996,3372425340,3438428716,3478646260,3526713568,3590139456,3656036944,3695867544,3741387144,3777732368,3829066260,3886892420,3956627992,4054613328,4138636076,4216429828,4309223224,4393442872,4519142796,4572102752,4626664632,4702517820,4800003892,4881147456,4943183964,4964992688,4979471016,5041964576,5094222460,5173505948,5283827604,5379877468,5441881932,5520596996,5546225172,5621776112,5662893892,5743696824,5794662876,5899241884,5965435512,6076411728,6168561820,6237677700,6315975880,6390284600,6506167832,6634011304,6706915220,6796321644,6915946548,6997168368,7111084996,7249488088,7411544340,7539478728,7646042996,7738945936,7836057744,7896547412,8007744768,8173446076,8409531728,8550011880,8710593196,8810799196,8971572908,9008703928,8994316868,8985822296,9028833196,9128417764,9173690580,9255858460,9300975392,9401892564,9530394872,9665473172,9763324308,9928041004,10066545204,10277805484,10287795756,10453936384,10616693052,10804774808,11095940148,11247770744,11339191804,11482881304,11768805368,11899235136,11954124288,12078011208,12258132852,12612538488,12463199456,12359769204,12027746592,12068943620,12014678796,12121642992,12277935992,12503808708,12630705240,12777554060,13132034064,13240161168,13382056916,13445019852,13715672724,13841459908,13795612280,14270251088,13896389880,14033746632,14118170500,14204824988,14453307756,14687303632,14882440232,15089588380,15276302224,15423817532,15541187024,15627145220,15703395640,15784190600,15938963820,16112413940,16356975532,16549325240,16740977516,16988569712,17192994360,17393989072,17633681108,17836943460,18133933816,18271637420,18395257108,18573575656,18756235560,20163650456,19822751848,19697302136,22147826512,21031135908,21124208116,21268077464,21395331012,21640433776,21995492192,22249735020,22618087861,22842356129,23059133391,23220186912,23616793543
 "00000","United States", ,SQINC35,1000,"...","Personal current transfer receipts ","Thousands of dollars",10784000,10520000,10072000,9632000,10136000,10780000,11564000,12368000,19648024,13968336,11099584,11324512,11114564,11372676,11631000,11651256,11489464,11518656,12363896,12288736,12472716,12364548,12457484,12911984,13529340,14162528,14480556,15253936,15328320,15619912,15917536,16067452,16409384,16604520,17169724,17324968,18202804,19311652,19584640,21235724,20922624,23624224,24815100,24751792,23172008,23949932,24732776,25369496,24848000,25256000,25944000,26912000,28816000,29688000,29876000,29420000,29988000,29988000,30428000,31164000,32652000,31688000,31960000,32536000,33572000,33204000,33504000,33736000,35044000,34644000,38136000,36888000,37836000,37900000,39460000,43272000,46156000,47236000,48668000,49996000,52404000,55892000,57352000,58728000,61392000,62308000,62756000,62832000,65892000,76124000,76556000,80360000,82196000,89716000,89716000,91364000,94476000,95088000,96296000,106660000,109328000,111700000,113580000,116784000,122172000,130196000,137504000,144684000,156232000,171912000,175292000,178260000,182324000,180556000,187204000,189296000,191436000,191976000,197120000,199912000,203936000,205740000,214632000,217936000,223480000,228196000,243832000,249996000,260232000,265156000,297348000,300760000,307240000,310772000,329268000,331768000,336996000,346224000,362848000,378496000,381120000,387248000,382848000,387468000,394456000,398872000,401612000,409988000,420532000,423016000,428296000,431200000,443504000,449260000,456204000,457876000,463128000,468060000,469116000,472072000,489852000,493512000,499612000,506664000,531336000,538684000,547836000,558888000,579772000,590880000,600412000,617860000,641704000,661260000,670600000,698628000,726844000,745484000,757600000,761828000,781640000,786024000,799840000,804120000,818024000,822764000,826820000,847912000,873932000,883368000,890272000,885924000,915980000,936296000,931704000,932532000,950176000,949908000,956100000,963004000,974652000,981036000,984476000,995348000,1014520000,1017804000,1030896000,1041356000,1056696000,1083688000,1097988000,1110748000,1155612000,1187360000,1192168000,1235120000,1260020000,1282228000,1292112000,1306400000,1324232000,1340572000,1360960000,1363148000,1397068000,1415960000,1425500000,1446296000,1488076000,1512612000,1528264000,1537892000,1588292000,1602804000,1628296000,1635864000,1706664000,1710320000,1732640000,1762636000,1802888000,2148360000,1941364000,1927716000,2039652000,2178568000,2176280000,2192272000,2303192000,2311056000,2336104000,2350116000,2361768000,2361576000,2352044000,2359228000,2340336000,2362784000,2364696000,2384136000,2403456000,2416188000,2434492000,2443132000,2474060000,2526732000,2568172000,2597100000,2644040000,2682308000,2699100000,2716032000,2745368000,2767680000,2787024000,2807860000,2831392000,2838136000,2869724000,2883328000,2939376000,2966044000,2988980000,3010556000,3105368000,3140520000,3161240000,3170072000,3217444000,5509932000,4403240000,3788984000,6063912000,4402672000,4144500000,3956288000,3960520000,3992384000,3981760000,4073672000,4102349000,4120093000,4093622000,4086743000,4248771000
 "00000","United States", ,SQINC35,2110,"..."," Social Security benefits ","Thousands of dollars",516000,544000,568000,580000,608000,656000,688000,704000,738072,770404,786944,1531660,1744520,1888968,1949144,1925200,1973312,2045580,2129940,2582428,2731036,2971468,3111840,3132184,3300488,3472920,3637524,4158296,4463296,4860224,5168900,5217292,5345408,5537620,5822012,5958704,6443828,7532852,7513756,7862516,7991128,8467540,8664108,8868844,9725756,10050684,10367632,10648596,10760000,11000000,11252000,11508000,11952000,12336000,12796000,13372000,13768000,14136000,14472000,14816000,14912000,15168000,15392000,15508000,15728000,15912000,16160000,16272000,16492000,16680000,20148000,18948000,19296000,19736000,19912000,20200000,20668000,21056000,21272000,21492000,22528000,24836000,25376000,25652000,25956000,26280000,26548000,26744000,27088000,34148000,31952000,32332000,32820000,38700000,37216000,37732000,38284000,38748000,39284000,47476000,49096000,50332000,51216000,52016000,52464000,56916000,59804000,61244000,62000000,62888000,69012000,69680000,70960000,71416000,76996000,78632000,79228000,80364000,86256000,87108000,87776000,87912000,94276000,95556000,96528000,97848000,107624000,108324000,109348000,109988000,126932000,128076000,130716000,131096000,146284000,146480000,146772000,147528000,157636000,162896000,162144000,164008000,163980000,167572000,170936000,172680000,172444000,176048000,181540000,181976000,185252000,184332000,191100000,192104000,195880000,195440000,198912000,201652000,201436000,201980000,213484000,213536000,214156000,214488000,225904000,226768000,227804000,229044000,241024000,243792000,244712000,247012000,261292000,263620000,265076000,266828000,278568000,281744000,282848000,283944000,295568000,297064000,298552000,300556000,308800000,311776000,312956000,315112000,324784000,327504000,328632000,329780000,339100000,341412000,342632000,344876000,353920000,355872000,357524000,359052000,366632000,368208000,370704000,371184000,376964000,378944000,380800000,382748000,392512000,404664000,403872000,404524000,420812000,422668000,428384000,428472000,442872000,445488000,448080000,451196000,458144000,463084000,464764000,468132000,479684000,484800000,486184000,491380000,506484000,512872000,514044000,517512000,538044000,543660000,546104000,548576000,568276000,575020000,578228000,581088000,597324000,602860000,608868000,613116000,651872000,662420000,667932000,675656000,678856000,689248000,693596000,698996000,703144000,712040000,716020000,721840000,753212000,759408000,765124000,770812000,789992000,795240000,802336000,808608000,824824000,831664000,836480000,845592000,861828000,868500000,873920000,882924000,886056000,893200000,899396000,907236000,916308000,922032000,929280000,936668000,960612000,968340000,976836000,983860000,1019168000,1026740000,1034368000,1042696000,1068172000,1075080000,1080296000,1088164000,1105684000,1109620000,1116840000,1126256000,1198684000,1207052000,1214456000,1225840000,1339982000,1353764000,1361291000,1374253000,1426435000
 "00000","United States", ,SQINC35,2210,"..."," Medicare benefits ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1036000,2996000,3876000,4544000,5028000,5348000,5576000,5776000,5988000,6220000,6428000,6632000,6800000,6920000,7020000,7164000,7324000,7508000,7760000,7960000,8148000,8328000,8480000,8692000,8940000,9232000,9544000,9960000,10452000,11020000,11700000,12368000,13060000,13776000,14492000,15244000,16008000,16788000,17584000,18384000,19196000,20016000,20864000,21688000,22512000,23340000,24164000,25044000,25980000,26984000,28004000,29208000,30536000,31996000,33632000,35300000,37036000,38836000,40688000,42556000,44436000,46316000,48220000,50056000,51844000,53588000,55168000,56904000,58668000,60448000,62452000,64088000,65564000,66888000,67868000,69072000,70316000,71624000,73004000,74468000,76004000,77600000,79648000,81068000,82280000,83344000,83436000,84956000,87048000,89716000,93824000,96872000,99712000,102292000,104284000,106524000,108744000,111000000,112924000,115684000,118876000,122464000,127232000,130972000,134468000,137712000,143376000,144736000,147452000,151576000,156904000,162164000,167056000,171568000,175688000,179556000,183160000,186476000,189596000,192912000,196524000,200440000,204364000,207084000,208280000,207940000,206416000,205332000,205016000,205468000,206596000,207936000,209404000,211008000,212960000,216112000,220688000,226708000,233848000,240360000,245840000,250272000,254132000,257936000,261640000,265236000,268900000,273420000,278968000,285544000,292968000,300420000,308604000,315444000,323172000,329152000,335136000,341048000,389556000,395612000,402140000,409120000,416448000,424080000,432020000,440256000,448752000,457308000,465892000,474500000,482948000,490404000,496676000,501776000,505964000,510504000,515660000,521432000,527636000,533384000,538480000,542936000,546960000,551600000,557064000,563360000,570308000,567108000,573744000,580216000,587544000,595620000,604044000,612820000,622412000,631476000,639468000,646396000,652432000,658624000,665200000,672180000,678496000,687396000,696280000,705144000,714436000,725692000,739196000,754952000,771928000,785252000,793896000,797872000,798436000,811112000,823120000,834460000,849388000,865580000,882556000,900316000,918172000,924716000,927248000,934216000,938096000,941925000,946342000,951347000,965266000
 "00000","United States", ,SQINC35,2221,"..."," Medicaid 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3220000,5128000,6420000,7052000,6728000,6644000,6668000,6936000,7656000,7952000,8692000,8544000,9076000,9596000,9660000,10112000,10224000,11144000,11368000,11968000,13264000,13788000,13760000,14640000,15164000,14856000,15868000,15940000,16200000,17492000,16720000,16536000,17460000,18632000,18916000,19468000,20032000,20776000,21108000,22352000,23404000,22188000,24212000,25616000,26512000,28140000,28340000,27992000,28836000,30180000,30848000,30772000,33192000,33400000,33980000,34912000,35672000,36212000,36836000,37568000,38388000,39156000,40084000,41064000,42132000,43116000,44148000,45184000,46248000,47296000,48376000,49424000,50868000,52204000,53676000,55360000,57420000,59572000,61920000,64440000,66572000,70344000,74928000,80732000,83664000,93056000,98428000,112496000,108264000,115400000,120560000,120768000,124400000,124812000,135168000,136036000,136644000,137076000,136156000,147840000,152456000,152456000,152676000,140692000,151316000,165792000,158792000,156852000,161420000,159364000,163680000,168032000,167244000,169984000,168120000,175432000,181128000,179096000,186716000,191280000,190192000,198256000,204752000,204772000,214996000,230104000,217400000,246536000,244896000,243832000,251056000,260252000,260672000,260120000,271652000,265660000,283448000,293040000,288256000,294504000,301348000,310780000,300124000,305404000,291328000,294912000,308744000,301416000,332464000,314732000,319640000,329920000,331596000,339160000,340820000,341756000,358440000,368940000,378248000,372812000,382076000,385708000,405588000,414100000,418820000,409652000,396364000,399252000,400636000,421656000,418996000,428868000,424756000,438424000,448156000,448596000,459468000,481504000,507168000,515348000,523576000,537872000,540444000,541764000,550456000,558844000,566516000,575316000,572388000,567888000,578828000,575820000,581896000,592616000,595048000,589504000,598712000,614444000,622372000,620612000,606444000,654616000,690752000,678608000,705024000,745680000,749236000,746144000,791436000,818712000,818964000,828352000,871449000,911393000,880576000,868307000,916885000
 "00000","United States", ,SQINC35,2410,"..."," State unemployment insurance compensation ","Thousands of dollars",688000,760000,792000,920000,1160000,1512000,1912000,2336000,1826608,1493992,1161476,1007476,767028,734784,874444,983264,1036468,972776,1117576,862304,906448,822408,863044,1252724,1748788,2112484,2148724,2088160,1636308,1329740,1209900,1219044,1284852,1319948,1472932,1443464,1551796,1503108,1638528,2236000,3187012,4155856,4337896,3545656,2708840,2281616,2203188,2478476,2220000,2484000,2856000,3348000,3760000,4748000,4024000,3392000,3164000,2816000,2740000,2752000,2864000,2788000,2692000,2708000,2608000,2604000,2448000,2364000,2256000,2204000,2128000,2008000,1876000,1636000,1760000,1752000,1968000,2184000,2124000,2020000,2088000,1952000,1988000,2004000,2056000,1972000,2104000,2268000,2612000,3552000,4164000,4916000,5184000,5684000,5724000,5736000,5916000,6192000,5204000,4504000,4184000,4072000,4116000,4380000,5416000,6272000,6456000,8136000,13428000,18428000,19188000,17804000,16548000,15148000,14964000,14360000,14376000,12352000,11104000,11020000,10040000,8720000,8424000,7916000,8752000,8620000,9048000,9980000,11348000,14924000,18100000,16952000,15556000,14708000,14216000,15868000,18420000,23168000,25364000,31020000,29376000,31068000,22528000,19272000,16648000,15152000,14616000,15308000,16288000,15432000,14500000,15072000,15096000,15796000,16396000,16336000,14944000,14548000,13952000,13044000,13412000,12708000,12772000,12568000,13128000,13268000,14176000,15284000,15960000,16564000,17648000,20404000,23720000,26816000,25264000,28544000,38432000,39752000,38128000,36468000,33680000,34088000,34100000,31884000,26864000,23504000,21216000,20496000,20120000,20764000,21168000,21676000,22220000,21956000,20924000,21016000,20256000,19704000,18992000,18796000,18820000,18768000,19748000,19280000,20272000,20372000,19824000,19556000,20040000,19496000,20064000,21292000,24844000,27836000,32592000,40072000,42220000,59668000,56172000,52916000,51000000,54448000,53372000,50604000,41388000,35052000,33848000,32104000,31336000,30156000,30744000,31768000,29540000,28692000,29788000,30352000,31532000,31104000,32116000,33276000,35552000,37520000,57276000,70888000,100320000,128864000,142716000,146900000,157604000,139476000,129172000,121812000,114552000,107200000,100940000,97828000,92668000,84364000,76792000,73592000,67560000,63328000,57720000,55852000,38044000,34912000,33164000,32176000,32116000,31664000,31804000,31724000,31760000,31712000,31504000,30680000,30748000,29012000,29088000,29732000,30000000,27088000,24892000,26692000,29944000,27316000,24540000,26312000,40460000,950512000,801548000,322748000,582888000,451184000,226236000,33500000,25768000,21016000,19292000,21820000,21682000,21974000,20703000,22387000,22432000
 "00000","United States", ,SQINC35,6000,"..."," All other personal current transfer receipts ","Thousands of dollars",9580000,9216000,8712000,8132000,8368000,8612000,8964000,9328000,17083344,11703940,9151164,8785376,8603016,8748924,8807412,8742792,8479684,8500300,9116380,8844004,8835232,8570672,8482600,8527076,8480064,8577124,8694308,9007480,9228716,9429948,9538736,9631116,9779124,9746952,9874780,9922800,10207180,10275692,10432356,11137208,9744484,11000828,11813096,12337292,10737412,11617632,12161956,12242424,11868000,11772000,11836000,12056000,13104000,12604000,13056000,12656000,13056000,13036000,13216000,13596000,14876000,13732000,13876000,14320000,15236000,14688000,14896000,15100000,16296000,15760000,15860000,15932000,16664000,16528000,16752000,18324000,19644000,19452000,20244000,21136000,22212000,23328000,24000000,24852000,26952000,27424000,27304000,26900000,25952000,26132000,26696000,28552000,29704000,30728000,31960000,32632000,34140000,33504000,34176000,36904000,37428000,37740000,38136000,39256000,42368000,43496000,46816000,49560000,53048000,61564000,57324000,59348000,62068000,60752000,60180000,60348000,60768000,60080000,60528000,61908000,64496000,65432000,67036000,68012000,70164000,71744000,75516000,77344000,82500000,82756000,91068000,91280000,93768000,94272000,95992000,95112000,94748000,95292000,97156000,100220000,101240000,101868000,103692000,105264000,108748000,110740000,112152000,114176000,116448000,117380000,118144000,119108000,122172000,123776000,123776000,123316000,123376000,123496000,123072000,124280000,128652000,130108000,131960000,134532000,141060000,142204000,144224000,147828000,151932000,153656000,154380000,158712000,160104000,162084000,162956000,168296000,174348000,177616000,181596000,182936000,184616000,185324000,184568000,184068000,188812000,188244000,189436000,192896000,200884000,203088000,204636000,207300000,213748000,214224000,212832000,209348000,210216000,207884000,207624000,209184000,215540000,218744000,220888000,223984000,229560000,231456000,234152000,236764000,240992000,245160000,248612000,253452000,261112000,266392000,267952000,269768000,275900000,275304000,275164000,276800000,285516000,289500000,292204000,293208000,299580000,302648000,308608000,312864000,325736000,329652000,348216000,342160000,339824000,339928000,341520000,346400000,357944000,365384000,370636000,378096000,389664000,711512000,468508000,427456000,446072000,527940000,490708000,495128000,578692000,586120000,592088000,593776000,597616000,599300000,600240000,597372000,546860000,545756000,546720000,547504000,550840000,552088000,552536000,549860000,564180000,583032000,587316000,591164000,604108000,612796000,613464000,613224000,624664000,625300000,624408000,622448000,633452000,631808000,636248000,635964000,652432000,652308000,653008000,655548000,685616000,686768000,686064000,682580000,703932000,2018612000,1007524000,865004000,2820928000,1230608000,1169632000,1150072000,1026460000,1020888000,1001800000,1063444000,931140000,891037000,884710000,870449000,917753000
"Note: See the included footnote file."
"SQINC35: Personal current transfer receipts "
"Last updated: June 28, 2024-- new statistics for 2024:Q1; revised statistics for 2023:Q1-2023:Q4."
